,id,description,price,address,date added,agent
2414,67321835,3 bedroom apartment for sale,413000,"Linter - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",28/06/2017, by JLL
2413,57137040,3 bedroom semi-detached house for sale,415000,"Longford Road, Chorlton",09/10/2018," by Jordan Fishwick, Chorlton"
2412,74403749,3 bedroom semi-detached house for sale,415000,"Wilmslow Road, Manchester",06/07/2018," by YOPA, National"
2411,63189709,2 bedroom detached house for sale,415000,"'Silverwood', Barlow Moor Road, Didsbury, Manchester",15/12/2017, by Philip James Kennedy
2409,67631821,2 bedroom apartment for sale,415000,"40-42 John Dalton Street, Central",21/09/2018," by Julie Twist Properties, Manchester"
2410,63189721,3 bedroom apartment for sale,415000,"'Silverwood', Barlow Moor Road, Didsbury, Manchester",15/12/2017," by Philip James Kennedy, Didsbury"
2408,55548330,2 bedroom apartment for sale,415164,"Store Street,
Manchester,
M1",19/07/2018, by Alliance Investments
2407,55548354,2 bedroom apartment for sale,415359,"Store Street,
Manchester,
M1",19/07/2018, by Alliance Investments
2406,57316389,2 bedroom apartment for sale,420000,"Watson Street, Manchester",16/10/2018," by Leaders Sales, Manchester "
2405,75627824,4 bedroom semi-detached house for sale,420000,"Warwick Road, Chorlton, Manchester, Greater Manchester, M21",14/09/2018," by Bridgfords, Chorlton"
2401,56637789,5 bedroom semi-detached house for sale,420000,"Granville Avenue, Salford",17/09/2018," by Aubrey Lee & Co, Prestwich"
2402,56351739,3 bedroom semi-detached house for sale,420000,"Grange Road, Chorlton, Manchester",31/08/2018," by Paul Birtles Estate Agents, Urmston"
2400,42320448,2 bedroom flat for sale,420000,"301 Deansgate, Manchester, Greater Manchester, M3",07/06/2016," by Bridgfords, Manchester"
2404,64228306,4 bedroom semi-detached house for sale,420000,"Woodlands Road, Whalley Range, Manchester",21/06/2018," by The Express Estate Agency, Nationwide"
2403,76558682,3 bedroom detached house for sale,420000,"Fairmount Road, South Swinton Manchester",21/10/2018," by Sell Well Online, Worsley"
2426,55622238,4 bedroom detached house for sale,425000,"Hyde Street, Littlemoss, Greater Manchester, M43",07/09/2018," by Sleigh & Son, Droylsden"
2433,67895923,4 bedroom terraced house for sale,425000,"Cavendish Road, West Didsbury, Manchester",09/10/2018," by Philip James Kennedy, Didsbury"
2432,76477103,4 bedroom semi-detached house for sale,425000,"Old Hall Lane, Fallowfield, Manchester, M14 ",18/10/2018," by JP & Brimelow , Withington"
2431,67878034,4 bedroom semi-detached house for sale,425000,"Lambton Road, Worsley",24/10/2018," by Briscombe, Nutter & Staff, Worsley"
2430,56740722,5 bedroom semi-detached house for sale,425000,"Hilton Lane, Prestwich, Prestwich Manchester",21/09/2018," by Herwald Sales & Lettings, Prestwich"
2429,57012462,4 bedroom semi-detached house for sale,425000,"Bower Avenue, Heaton Norris",04/10/2018," by Julian Wadden, The Heatons"
2428,67325917,4 bedroom town house for sale,425000,"Merchants Quay, Salford Quays, Salford, Lancashire, M50",04/09/2018," by Lawrence Copeland  (Town & City Centre), Manchester"
2427,74209319,4 bedroom detached house for sale,425000,"Middleton Road, Crumpsall. Manchester",30/08/2018," by Clive Anthony Sales & Lettings, Prestwich"
2425,75761243,4 bedroom semi-detached house for sale,425000,"Henley Avenue, Firswood, Trafford, M16 ",20/09/2018," by JP & Brimelow, Chorlton & Didsbury Sales"
2417,67408114,5 bedroom terraced house for sale,425000,"Park Road, Salford",08/09/2018," by Murphy Waldron Estates Ltd, Salford "
2423,67993639,4 bedroom semi-detached house for sale,425000,"Broadstone Road, Heaton Chapel, Stockport",15/10/2018," by Edward Mellor Ltd, Gorton"
2422,76359080,5 bedroom detached house for sale,425000,"Besford Close, Manchester",15/10/2018," by YOPA, National"
2421,55128813,3 bedroom terraced house for sale,425000,"Albert Hill Street, Didsbury, Manchester",24/10/2018," by Julian Wadden, Didsbury"
2420,75528305,4 bedroom semi-detached house for sale,425000,"Reynolds Road, Manchester, M16",10/09/2018," by Purplebricks, covering Manchester"
2419,64837402,4 bedroom detached house for sale,425000,"Urmston Lane, Manchester",27/07/2018," by Home Estate Agents, Stretford"
2418,63986947,5 bedroom semi-detached house for sale,425000,"Kings Road, Old Trafford, Manchester",23/10/2018," by The Express Estate Agency, Nationwide"
2424,74416208,4 bedroom detached house for sale,425000,"Stretford Road, Urmston, Manchester, M41",07/07/2018," by VitalSpace, Urmston"
2416,76609535,3 bedroom apartment for sale,426800,"One Regent, Water Street, Manchester, Greater Manchester, M3",23/10/2018, by Opulent
2415,75760793,3 bedroom apartment for sale,426800,"Reference: 96524, Regent Road, Salford",20/09/2018, by The Property Supplier
2442,65253683,3 bedroom apartment for sale,436090,"Unit 31.03 Greengate, Manchester, Greater Manchester, M3",16/03/2017, by Opulent
2441,73904012,4 bedroom semi-detached house for sale,437500,"Buckingham Road West, Heaton Moor",15/10/2018," by John Mellor Independent Estate Agents, Heaton Moor, Stockport"
2440,56346315,4 bedroom apartment for sale,439000,"5 The Corner, Broughton Park",31/08/2018," by Aubrey Lee & Co, Prestwich"
2439,53470701,3 bedroom end of terrace house for sale,440000,"Grange Road, Manchester, M21",17/03/2018," by Emoov, National"
2437,65662471,3 bedroom apartment for sale,440000,"Holly Royde House, 56 Palatine Road, West Didsbury, Manchester",10/10/2018," by Philip James Kennedy, Didsbury"
2438,76389551,3 bedroom detached house for sale,440000,"Merchants Quay, Salford, Quays M50",17/10/2018," by Beyond Residential , Salford Quays"
2436,74556902,4 bedroom semi-detached house for sale,440000,"Nettleford Road, Whalley Range, Manchester, M16 ",20/07/2018, by JP & Brimelow
2435,73323599,5 bedroom end of terrace house for sale,440000,"Park Road, Salford Manchester",21/05/2018," by Sell Well Online, Worsley"
2434,74556899,4 bedroom semi-detached house for sale,440000,"Nettleford Road, Whalley Range, Manchester, M16 ",20/07/2018, by JP & Brimelow
2448,65259407,3 bedroom apartment for sale,442530,"Unit 33.03 Greengate, Manchester, Greater Manchester, M3",16/03/2017, by Opulent
2446,53129652,2 bedroom apartment for sale,445000,"St John's, St John's Place, Manchester, M3",26/02/2018, by JLL
2447,76063565,4 bedroom town house for sale,445000,"City Mews, Plot 9, Saint Stephens Street, Salford, Manchester",02/10/2018," by O'Connor Bowden, Stockport - Sales"
2445,70237379,3 bedroom apartment for sale,449500,"MeadowSide, Angel Meadow, Aspin Lane, Manchester, Greater Manchester, M4",27/09/2017, by Cushman & Wakefield
